Name,College,Graduated?,Grade
Lloyd Cushenberry III ,LSU,Yes,83
Matt Hennessy ,Temple,Yes,81.5
Tyler Biadasz ,Wisconsin,No,77
Darryl Williams,Mississippi State,Yes,71.5
Nick Harris,Washington,Yes,66.5
Keith Ismael,San Diego State,Yes,57.5
Jake Hanson,Oregon,Yes,40.1
Cohl Cabral,Arizona State,Yes,38.8
Kyle Hinton ,Washburn,Yes,35
Calvin Throckmorton,Oregon,Yes,34
