Name,College,Graduated?,Grade
Braden Mann ,Texas A&M,Yes,58
Michael Turk ,Arizona State,No,48.2
Joseph Charlton,South Carolina,Yes,35.3
Sterling Hofrichter,Syracuse,Yes,28.8
