Name,College,Graduated?,Grade
Rodrigo Blankenship ,Georgia,Yes,50.1
Tyler Bass ,Georgia Southern,Yes,41.8
Sam Sloman,Miami (OH),Yes,26.3
Dominik Eberle ,Utah State,Yes,21
